Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,0,28,5,7,.714,5,7,.714,0,0,,5,7,.714,3,3,6,1,3,0,3,1,15
2,2016-11-15,VCU,@,Liberty,REG,W,0,25,2,4,.500,2,4,.500,0,0,,8,10,.800,3,3,6,0,0,2,1,2,12
3,2016-11-18,VCU,,Binghamton,REG,W,0,20,0,3,.000,0,3,.000,0,0,,0,0,,0,2,2,0,2,3,3,1,0
4,2016-11-23,VCU,N,Baylor,REG,L,0,13,2,4,.500,2,4,.500,0,0,,2,2,1.000,2,1,3,0,0,0,2,4,6
5,2016-11-24,VCU,N,St. John's (NY),REG,W,0,33,5,9,.556,5,9,.556,0,0,,5,7,.714,1,3,4,2,0,3,1,2,15
6,2016-11-25,VCU,N,LSU,REG,W,0,18,2,7,.286,2,7,.286,0,0,,3,4,.750,1,1,2,1,1,1,1,3,7
7,2016-11-29,VCU,,Princeton,REG,W,0,33,7,9,.778,7,9,.778,0,0,,1,2,.500,2,2,4,0,1,5,1,0,15
8,2016-12-03,VCU,N,Illinois,REG,L,0,27,3,5,.600,3,5,.600,0,0,,4,5,.800,2,1,3,0,0,3,4,4,10
9,2016-12-07,VCU,,Georgia Tech,REG,L,1,30,2,7,.286,2,7,.286,0,0,,2,2,1.000,2,4,6,0,1,3,1,4,6
10,2016-12-10,VCU,@,Old Dominion,REG,W,1,28,4,11,.364,4,11,.364,0,0,,0,0,,6,2,8,1,0,4,3,4,8
11,2016-12-17,VCU,,Middle Tennessee,REG,W,1,32,5,6,.833,5,6,.833,0,0,,5,7,.714,0,0,0,3,1,3,1,1,15
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,1,24,4,8,.500,4,8,.500,0,0,,8,8,1.000,3,2,5,2,2,3,2,3,16
13,2016-12-27,VCU,,Howard,REG,W,1,9,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2
14,2016-12-30,VCU,@,George Mason,REG,W,1,31,6,11,.545,6,11,.545,0,0,,2,3,.667,5,4,9,3,2,3,2,1,14
15,2017-01-04,VCU,@,Duquesne,REG,W,1,28,9,9,1.000,9,9,1.000,0,0,,0,1,.000,1,3,4,1,0,2,2,3,18
16,2017-01-07,VCU,,UMass,REG,W,1,21,2,5,.400,2,5,.400,0,0,,3,4,.750,5,3,8,2,3,0,0,4,7
17,2017-01-11,VCU,,George Washington,REG,W,1,23,5,8,.625,5,8,.625,0,0,,4,4,1.000,3,1,4,0,2,0,0,2,14
18,2017-01-14,VCU,@,Davidson,REG,L,1,34,5,11,.455,5,11,.455,0,0,,1,1,1.000,2,1,3,0,1,3,3,4,11
19,2017-01-18,VCU,@,Fordham,REG,L,1,35,0,0,,0,0,,0,0,,3,4,.750,2,2,4,1,3,3,1,5,3
20,2017-01-22,VCU,,La Salle,REG,W,1,14,1,3,.333,1,3,.333,0,0,,0,0,,0,1,1,0,2,2,1,2,2
21,2017-01-27,VCU,,Dayton,REG,W,1,21,3,6,.500,3,6,.500,0,0,,2,2,1.000,2,3,5,0,1,3,2,4,8
22,2017-02-01,VCU,,Richmond,REG,W,1,26,5,6,.833,5,6,.833,0,0,,3,4,.750,2,2,4,0,2,1,1,3,13
23,2017-02-04,VCU,@,St. Bonaventure,REG,W,1,37,8,11,.727,8,11,.727,0,0,,4,7,.571,3,1,4,2,0,3,2,3,20
24,2017-02-08,VCU,@,George Washington,REG,W,1,34,3,6,.500,3,6,.500,0,0,,3,4,.750,4,2,6,2,0,3,2,2,9
25,2017-02-11,VCU,,Davidson,REG,W,1,28,5,8,.625,5,8,.625,0,0,,0,1,.000,4,1,5,1,0,3,1,0,10
26,2017-02-14,VCU,,St. Joseph's,REG,W,1,25,3,5,.600,3,5,.600,0,0,,3,6,.500,1,1,2,1,0,2,0,3,9
27,2017-02-17,VCU,@,Richmond,REG,W,1,26,3,4,.750,3,4,.750,0,0,,1,1,1.000,1,2,3,2,0,1,3,4,7
28,2017-02-22,VCU,,Saint Louis,REG,W,1,21,2,4,.500,2,4,.500,0,0,,1,2,.500,3,4,7,0,0,2,1,2,5
29,2017-02-25,VCU,@,Rhode Island,REG,L,1,19,1,5,.200,1,5,.200,0,0,,2,2,1.000,1,1,2,1,0,1,1,4,4
30,2017-03-01,VCU,@,Dayton,REG,L,1,35,10,15,.667,10,15,.667,0,0,,3,6,.500,2,2,4,1,0,3,1,1,23
31,2017-03-04,VCU,,George Mason,REG,W,1,30,3,5,.600,3,5,.600,0,0,,0,0,,0,4,4,3,0,3,2,1,6
32,2017-03-10,VCU,N,George Mason,CTOURN,W,1,28,0,4,.000,0,4,.000,0,0,,0,0,,2,0,2,4,0,2,3,4,0
33,2017-03-11,VCU,N,Richmond,CTOURN,W,1,36,7,12,.583,7,12,.583,0,0,,1,1,1.000,2,7,9,2,1,0,1,2,15
34,2017-03-12,VCU,N,Rhode Island,CTOURN,L,1,28,2,8,.250,2,8,.250,0,0,,2,2,1.000,5,1,6,0,0,1,1,2,6
35,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,1,22,1,4,.250,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,1,3,2
,35 Games,,,,,,27,922,126,232,.543,126,232,.543,0,0,,81,109,.743,76,71,147,36,29,71,55,90,333
