Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,0,30,5,10,.500,3,3,1.000,2,7,.286,0,0,,0,2,2,4,3,0,1,2,12
2,2016-11-15,VCU,@,Liberty,REG,W,0,23,1,2,.500,1,1,1.000,0,1,.000,1,4,.250,0,3,3,2,3,0,1,4,3
3,2016-11-18,VCU,,Binghamton,REG,W,0,16,3,6,.500,2,2,1.000,1,4,.250,0,0,,0,1,1,1,1,0,0,2,7
4,2016-11-23,VCU,N,Baylor,REG,L,0,14,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,2,0,0,1,3,0
5,2016-11-24,VCU,N,St. John's (NY),REG,W,1,10,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,1,0,1,5,3
6,2016-11-25,VCU,N,LSU,REG,W,1,18,2,6,.333,0,3,.000,2,3,.667,2,3,.667,1,0,1,1,2,0,1,1,8
7,2016-11-29,VCU,,Princeton,REG,W,1,35,1,7,.143,0,0,,1,7,.143,2,2,1.000,1,4,5,2,2,1,2,3,5
8,2016-12-03,VCU,N,Illinois,REG,L,1,21,0,5,.000,0,2,.000,0,3,.000,3,5,.600,1,1,2,1,1,0,1,1,3
9,2016-12-07,VCU,,Georgia Tech,REG,L,0,25,3,9,.333,1,3,.333,2,6,.333,2,4,.500,0,1,1,2,4,0,1,2,10
10,2016-12-10,VCU,@,Old Dominion,REG,W,0,12,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,4,1,0,0,5,0
11,2016-12-17,VCU,,Middle Tennessee,REG,W,0,21,1,4,.250,1,1,1.000,0,3,.000,0,1,.000,1,4,5,3,3,0,0,4,2
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,19,5,6,.833,0,0,,5,6,.833,0,0,,1,1,2,6,4,0,0,3,15
13,2016-12-27,VCU,,Howard,REG,W,0,22,3,7,.429,2,2,1.000,1,5,.200,0,0,,0,2,2,2,1,0,2,2,7
14,2016-12-30,VCU,@,George Mason,REG,W,0,20,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,1,2,0,3,2,0
15,2017-01-04,VCU,@,Duquesne,REG,W,0,14,2,3,.667,1,1,1.000,1,2,.500,0,0,,1,1,2,2,1,0,1,4,5
16,2017-01-07,VCU,,UMass,REG,W,0,26,3,9,.333,0,2,.000,3,7,.429,5,6,.833,2,3,5,1,2,1,0,3,14
17,2017-01-11,VCU,,George Washington,REG,W,0,15,2,2,1.000,1,1,1.000,1,1,1.000,2,3,.667,0,1,1,3,0,0,0,4,7
18,2017-01-14,VCU,@,Davidson,REG,L,0,21,0,5,.000,0,1,.000,0,4,.000,0,0,,1,4,5,0,2,0,0,5,0
19,2017-01-18,VCU,@,Fordham,REG,L,0,24,3,8,.375,0,1,.000,3,7,.429,2,2,1.000,1,3,4,1,0,1,3,1,11
20,2017-01-22,VCU,,La Salle,REG,W,1,20,3,5,.600,1,1,1.000,2,4,.500,1,1,1.000,0,1,1,3,6,0,2,3,9
21,2017-01-27,VCU,,Dayton,REG,W,1,16,1,5,.200,1,2,.500,0,3,.000,0,0,,1,2,3,2,0,0,0,3,2
22,2017-02-01,VCU,,Richmond,REG,W,1,25,1,6,.167,1,4,.250,0,2,.000,0,0,,0,3,3,2,4,0,0,2,2
23,2017-02-04,VCU,@,St. Bonaventure,REG,W,1,23,2,3,.667,0,0,,2,3,.667,4,4,1.000,0,4,4,1,3,0,2,4,10
24,2017-02-08,VCU,@,George Washington,REG,W,1,23,0,6,.000,0,2,.000,0,4,.000,0,0,,1,3,4,2,0,0,1,3,0
25,2017-02-11,VCU,,Davidson,REG,W,1,7,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,1,1,1,1,4,0
26,2017-02-14,VCU,,St. Joseph's,REG,W,1,19,4,8,.500,2,4,.500,2,4,.500,2,2,1.000,0,2,2,2,3,0,3,5,12
27,2017-02-17,VCU,@,Richmond,REG,W,1,20,2,3,.667,2,3,.667,0,0,,6,7,.857,0,3,3,2,1,0,1,4,10
28,2017-02-22,VCU,,Saint Louis,REG,W,1,21,2,4,.500,2,3,.667,0,1,.000,0,0,,1,5,6,2,1,0,1,1,4
29,2017-02-25,VCU,@,Rhode Island,REG,L,1,24,1,5,.200,1,3,.333,0,2,.000,4,10,.400,2,5,7,2,3,0,1,3,6
30,2017-03-01,VCU,@,Dayton,REG,L,1,28,2,11,.182,1,6,.167,1,5,.200,0,1,.000,2,4,6,5,1,0,1,3,5
31,2017-03-04,VCU,,George Mason,REG,W,1,20,1,6,.167,0,3,.000,1,3,.333,0,0,,0,3,3,2,0,0,1,4,3
32,2017-03-10,VCU,N,George Mason,CTOURN,W,1,16,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,5,5,0,0,0,2,4,8
33,2017-03-11,VCU,N,Richmond,CTOURN,W,1,25,1,6,.167,1,4,.250,0,2,.000,2,2,1.000,0,2,2,2,0,0,0,2,4
34,2017-03-12,VCU,N,Rhode Island,CTOURN,L,1,28,3,9,.333,1,2,.500,2,7,.286,1,1,1.000,0,4,4,1,0,0,1,4,9
35,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,1,8,0,3,.000,0,1,.000,0,2,.000,0,0,,1,2,3,0,0,0,1,5,0
,35 Games,,,,,,20,709,61,181,.337,26,63,.413,35,118,.297,39,58,.672,18,84,102,67,56,4,36,110,196
