Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,1,15,1,4,.250,0,1,.000,1,3,.333,0,0,,2,2,4,1,3,0,1,0,3
2,2016-11-15,VCU,@,Liberty,REG,W,1,28,4,9,.444,3,6,.500,1,3,.333,0,1,.000,1,7,8,3,1,0,4,3,9
3,2016-11-18,VCU,,Binghamton,REG,W,1,13,4,6,.667,2,4,.500,2,2,1.000,0,0,,2,3,5,1,0,1,0,2,10
4,2016-11-23,VCU,N,Baylor,REG,L,1,35,0,2,.000,0,0,,0,2,.000,0,0,,0,2,2,3,2,1,2,3,0
5,2016-11-24,VCU,N,St. John's (NY),REG,W,1,26,2,4,.500,0,2,.000,2,2,1.000,1,2,.500,1,1,2,4,1,0,1,3,7
6,2016-11-25,VCU,N,LSU,REG,W,1,17,2,4,.500,2,2,1.000,0,2,.000,1,2,.500,1,1,2,2,3,0,0,3,5
7,2016-11-29,VCU,,Princeton,REG,W,1,29,5,5,1.000,4,4,1.000,1,1,1.000,1,2,.500,0,7,7,1,0,0,1,3,12
8,2016-12-03,VCU,N,Illinois,REG,L,1,27,1,3,.333,1,2,.500,0,1,.000,0,0,,1,6,7,0,1,0,0,2,2
9,2016-12-07,VCU,,Georgia Tech,REG,L,1,31,3,8,.375,2,3,.667,1,5,.200,0,0,,1,2,3,1,2,1,1,2,7
10,2016-12-10,VCU,@,Old Dominion,REG,W,1,22,3,5,.600,2,2,1.000,1,3,.333,0,0,,0,2,2,0,0,1,2,2,7
11,2016-12-17,VCU,,Middle Tennessee,REG,W,1,28,2,8,.250,1,4,.250,1,4,.250,0,0,,3,8,11,2,0,1,0,4,5
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,1,32,4,8,.500,3,5,.600,1,3,.333,0,0,,2,1,3,2,0,0,1,3,9
13,2016-12-27,VCU,,Howard,REG,W,1,17,1,1,1.000,1,1,1.000,0,0,,0,0,,2,2,4,0,1,0,0,2,2
14,2016-12-30,VCU,@,George Mason,REG,W,1,25,2,4,.500,2,4,.500,0,0,,0,0,,5,3,8,1,0,0,5,5,4
15,2017-01-04,VCU,@,Duquesne,REG,W,1,15,1,3,.333,0,1,.000,1,2,.500,0,0,,0,2,2,0,0,0,1,3,3
16,2017-01-07,VCU,,UMass,REG,W,1,29,3,7,.429,2,5,.400,1,2,.500,2,2,1.000,1,3,4,3,0,0,0,2,9
17,2017-01-11,VCU,,George Washington,REG,W,1,22,1,5,.200,0,2,.000,1,3,.333,0,2,.000,1,1,2,2,2,0,0,3,3
18,2017-01-14,VCU,@,Davidson,REG,L,1,14,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,4,0
19,2017-01-18,VCU,@,Fordham,REG,L,1,16,1,1,1.000,0,0,,1,1,1.000,0,0,,1,1,2,0,1,0,0,3,3
20,2017-01-22,VCU,,La Salle,REG,W,0,21,4,5,.800,2,2,1.000,2,3,.667,0,0,,0,3,3,0,0,0,1,3,10
21,2017-01-27,VCU,,Dayton,REG,W,0,21,1,6,.167,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,0,3,2
22,2017-02-01,VCU,,Richmond,REG,W,0,15,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,1,1,1,0,0,0,2,4
23,2017-02-04,VCU,@,St. Bonaventure,REG,W,0,12,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,0,1,0,4,1
24,2017-02-08,VCU,@,George Washington,REG,W,0,17,2,3,.667,0,0,,2,3,.667,0,0,,0,0,0,0,1,0,0,2,6
25,2017-02-11,VCU,,Davidson,REG,W,0,12,1,1,1.000,1,1,1.000,0,0,,0,1,.000,0,4,4,1,0,1,0,3,2
26,2017-02-14,VCU,,St. Joseph's,REG,W,0,9,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,3,0
27,2017-02-17,VCU,@,Richmond,REG,W,0,20,1,2,.500,1,2,.500,0,0,,0,0,,0,4,4,1,0,1,0,3,2
28,2017-02-22,VCU,,Saint Louis,REG,W,0,19,0,4,.000,0,2,.000,0,2,.000,2,4,.500,0,3,3,0,0,0,1,2,2
29,2017-02-25,VCU,@,Rhode Island,REG,L,0,21,0,3,.000,0,1,.000,0,2,.000,1,2,.500,0,2,2,0,1,1,3,3,1
30,2017-03-01,VCU,@,Dayton,REG,L,0,16,0,3,.000,0,2,.000,0,1,.000,0,0,,1,3,4,0,1,0,2,5,0
31,2017-03-04,VCU,,George Mason,REG,W,1,26,5,12,.417,4,6,.667,1,6,.167,0,0,,1,5,6,2,1,0,0,1,11
32,2017-03-10,VCU,N,George Mason,CTOURN,W,1,27,5,10,.500,5,8,.625,0,2,.000,0,3,.000,3,4,7,2,1,0,0,2,10
33,2017-03-11,VCU,N,Richmond,CTOURN,W,1,18,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,3,1,4
34,2017-03-12,VCU,N,Rhode Island,CTOURN,L,1,20,1,3,.333,0,2,.000,1,1,1.000,1,3,.333,0,1,1,0,0,0,0,2,4
35,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,1,33,4,6,.667,4,6,.667,0,0,,3,5,.600,3,0,3,0,0,0,1,4,11
,35 Games,,,,,,24,748,68,157,.433,47,93,.505,21,64,.328,13,31,.419,33,89,122,35,24,9,30,95,170
