Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-15,VCU,@,Liberty,REG,W,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
2,2016-11-18,VCU,,Binghamton,REG,W,0,12,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,2
3,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
4,2016-12-27,VCU,,Howard,REG,W,0,16,0,4,.000,0,3,.000,0,1,.000,0,1,.000,1,3,4,2,0,0,2,0,0
5,2017-01-04,VCU,@,Duquesne,REG,W,0,2,0,0,,0,0,,0,0,,3,4,.750,0,0,0,0,0,0,0,1,3
6,2017-01-18,VCU,@,Fordham,REG,L,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
7,2017-01-22,VCU,,La Salle,REG,W,0,6,1,3,.333,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2
8,2017-02-11,VCU,,Davidson,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,2017-02-22,VCU,,Saint Louis,REG,W,0,6,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0
10,2017-03-04,VCU,,George Mason,REG,W,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
,10 Games,,,,,,0,54,2,11,.182,2,9,.222,0,2,.000,3,5,.600,2,6,8,4,2,0,4,3,7
