Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,1,12,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,1,0,0,0,2,3
2,2016-11-15,VCU,@,Liberty,REG,W,1,16,2,2,1.000,0,0,,2,2,1.000,0,0,,0,0,0,1,0,0,2,2,6
3,2016-11-18,VCU,,Binghamton,REG,W,1,21,3,7,.429,2,2,1.000,1,5,.200,0,0,,1,1,2,1,2,0,0,0,7
4,2016-11-23,VCU,N,Baylor,REG,L,1,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0
5,2016-11-24,VCU,N,St. John's (NY),REG,W,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
6,2016-11-25,VCU,N,LSU,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
7,2016-11-29,VCU,,Princeton,REG,W,0,7,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
8,2016-12-03,VCU,N,Illinois,REG,L,0,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,2016-12-07,VCU,,Georgia Tech,REG,L,0,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
10,2016-12-17,VCU,,Middle Tennessee,REG,W,0,4,0,0,,0,0,,0,0,,0,1,.000,0,0,0,0,0,0,0,0,0
11,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,2,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3
12,2016-12-27,VCU,,Howard,REG,W,0,23,3,6,.500,1,1,1.000,2,5,.400,2,2,1.000,2,2,4,3,1,1,1,1,10
13,2016-12-30,VCU,@,George Mason,REG,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
14,2017-01-04,VCU,@,Duquesne,REG,W,0,7,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,3,0
15,2017-01-07,VCU,,UMass,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
16,2017-01-11,VCU,,George Washington,REG,W,0,16,2,5,.400,0,1,.000,2,4,.500,0,0,,0,0,0,0,0,0,0,1,6
17,2017-01-14,VCU,@,Davidson,REG,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
18,2017-01-18,VCU,@,Fordham,REG,L,0,12,2,3,.667,0,0,,2,3,.667,0,0,,0,0,0,0,0,1,0,0,6
19,2017-01-22,VCU,,La Salle,REG,W,0,27,0,3,.000,0,0,,0,3,.000,0,0,,0,6,6,1,0,0,0,2,0
20,2017-01-27,VCU,,Dayton,REG,W,0,18,1,2,.500,0,0,,1,2,.500,0,0,,2,2,4,2,0,0,1,1,3
21,2017-02-01,VCU,,Richmond,REG,W,0,8,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0
22,2017-02-04,VCU,@,St. Bonaventure,REG,W,0,17,1,4,.250,0,1,.000,1,3,.333,0,0,,1,1,2,1,0,0,1,0,3
23,2017-02-08,VCU,@,George Washington,REG,W,0,11,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
24,2017-02-11,VCU,,Davidson,REG,W,0,22,2,6,.333,1,2,.500,1,4,.250,0,0,,0,1,1,0,2,1,1,1,5
25,2017-02-14,VCU,,St. Joseph's,REG,W,0,10,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,1,0,0,2,3
26,2017-02-17,VCU,@,Richmond,REG,W,0,15,3,5,.600,0,0,,3,5,.600,0,0,,0,0,0,1,0,0,0,1,9
27,2017-02-22,VCU,,Saint Louis,REG,W,0,16,0,3,.000,0,0,,0,3,.000,0,0,,0,0,0,0,0,0,1,2,0
28,2017-02-25,VCU,@,Rhode Island,REG,L,0,18,1,2,.500,0,0,,1,2,.500,0,0,,1,1,2,0,0,0,1,3,3
29,2017-03-01,VCU,@,Dayton,REG,L,0,13,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0
30,2017-03-04,VCU,,George Mason,REG,W,0,9,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3
31,2017-03-10,VCU,N,George Mason,CTOURN,W,0,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
32,2017-03-11,VCU,N,Richmond,CTOURN,W,0,2,1,2,.500,0,0,,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3
33,2017-03-12,VCU,N,Rhode Island,CTOURN,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
34,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,0,10,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
,34 Games,,,,,,4,341,25,66,.379,4,7,.571,21,59,.356,2,3,.667,9,16,25,12,8,4,11,31,73
