Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,0,19,3,5,.600,2,2,1.000,1,3,.333,3,4,.750,2,1,3,0,0,0,3,0,10
2,2016-11-15,VCU,@,Liberty,REG,W,0,21,4,10,.400,4,9,.444,0,1,.000,0,0,,1,4,5,1,0,0,1,3,8
3,2016-11-18,VCU,,Binghamton,REG,W,0,24,4,6,.667,3,5,.600,1,1,1.000,1,4,.250,0,3,3,1,1,1,0,2,10
4,2016-11-23,VCU,N,Baylor,REG,L,0,26,1,6,.167,1,5,.200,0,1,.000,6,8,.750,3,4,7,0,0,0,2,3,8
5,2016-11-24,VCU,N,St. John's (NY),REG,W,0,21,1,7,.143,1,6,.167,0,1,.000,1,2,.500,1,3,4,2,1,0,0,3,3
6,2016-11-25,VCU,N,LSU,REG,W,0,27,5,13,.385,5,9,.556,0,4,.000,2,4,.500,1,6,7,2,2,0,2,1,12
7,2016-11-29,VCU,,Princeton,REG,W,1,25,4,8,.500,3,6,.500,1,2,.500,2,2,1.000,4,2,6,1,1,0,5,3,11
8,2016-12-03,VCU,N,Illinois,REG,L,0,27,3,11,.273,2,6,.333,1,5,.200,2,2,1.000,0,3,3,1,0,0,1,2,9
9,2016-12-07,VCU,,Georgia Tech,REG,L,0,14,0,2,.000,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,4,1,0
10,2016-12-10,VCU,@,Old Dominion,REG,W,0,16,1,3,.333,1,2,.500,0,1,.000,2,2,1.000,0,2,2,1,1,0,3,0,4
11,2016-12-17,VCU,,Middle Tennessee,REG,W,0,31,5,9,.556,5,7,.714,0,2,.000,4,5,.800,0,2,2,4,0,0,1,3,14
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,27,4,10,.400,4,6,.667,0,4,.000,2,2,1.000,1,7,8,1,1,0,2,1,10
13,2016-12-27,VCU,,Howard,REG,W,1,17,3,5,.600,3,4,.750,0,1,.000,2,2,1.000,0,4,4,3,0,0,2,2,8
14,2016-12-30,VCU,@,George Mason,REG,W,1,16,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,2,1,0,4,1,4
15,2017-01-04,VCU,@,Duquesne,REG,W,1,34,9,15,.600,7,13,.538,2,2,1.000,3,4,.750,1,6,7,9,3,0,2,2,23
16,2017-01-07,VCU,,UMass,REG,W,0,19,2,6,.333,2,4,.500,0,2,.000,2,2,1.000,1,2,3,0,0,0,1,3,6
17,2017-01-11,VCU,,George Washington,REG,W,0,24,2,9,.222,0,4,.000,2,5,.400,2,3,.667,1,1,2,3,1,0,2,3,8
18,2017-01-14,VCU,@,Davidson,REG,L,0,20,0,4,.000,0,2,.000,0,2,.000,3,4,.750,1,3,4,1,0,0,1,2,3
19,2017-01-18,VCU,@,Fordham,REG,L,0,21,3,7,.429,1,3,.333,2,4,.500,0,0,,0,2,2,1,1,0,2,3,8
20,2017-01-22,VCU,,La Salle,REG,W,1,25,5,8,.625,4,5,.800,1,3,.333,4,6,.667,0,3,3,4,2,0,1,0,15
21,2017-01-27,VCU,,Dayton,REG,W,1,30,3,7,.429,3,6,.500,0,1,.000,5,6,.833,2,3,5,5,1,0,3,3,11
22,2017-02-01,VCU,,Richmond,REG,W,1,25,5,9,.556,4,7,.571,1,2,.500,5,6,.833,0,1,1,6,2,0,2,3,16
23,2017-02-04,VCU,@,St. Bonaventure,REG,W,1,32,3,11,.273,3,8,.375,0,3,.000,0,0,,0,2,2,4,1,0,2,5,6
24,2017-02-08,VCU,@,George Washington,REG,W,1,30,4,8,.500,2,2,1.000,2,6,.333,0,0,,2,3,5,2,1,0,3,3,10
25,2017-02-11,VCU,,Davidson,REG,W,1,23,2,6,.333,1,4,.250,1,2,.500,4,6,.667,1,2,3,1,1,0,0,3,9
26,2017-02-14,VCU,,St. Joseph's,REG,W,1,33,1,6,.167,0,1,.000,1,5,.200,7,8,.875,1,7,8,10,1,0,3,1,10
27,2017-02-17,VCU,@,Richmond,REG,W,1,23,3,6,.500,1,3,.333,2,3,.667,1,2,.500,1,3,4,2,0,0,2,1,9
28,2017-02-22,VCU,,Saint Louis,REG,W,1,24,4,8,.500,2,3,.667,2,5,.400,3,3,1.000,1,2,3,1,2,0,5,2,13
29,2017-02-25,VCU,@,Rhode Island,REG,L,1,23,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,0,2,2,0,1,0,1,5,4
30,2017-03-01,VCU,@,Dayton,REG,L,1,10,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,2,0
31,2017-03-04,VCU,,George Mason,REG,W,0,22,2,7,.286,2,6,.333,0,1,.000,4,4,1.000,0,2,2,1,1,0,1,1,8
32,2017-03-10,VCU,N,George Mason,CTOURN,W,0,19,3,8,.375,3,7,.429,0,1,.000,4,7,.571,0,3,3,1,0,1,1,2,10
33,2017-03-11,VCU,N,Richmond,CTOURN,W,0,30,6,10,.600,4,7,.571,2,3,.667,3,3,1.000,0,3,3,3,3,0,1,1,17
34,2017-03-12,VCU,N,Rhode Island,CTOURN,L,0,16,3,10,.300,2,8,.250,1,2,.500,1,2,.500,3,1,4,0,1,0,1,1,8
