Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-15,VCU,@,Liberty,REG,W,0,3,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1
2,2016-11-18,VCU,,Binghamton,REG,W,0,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2
3,2016-11-25,VCU,N,LSU,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
4,2016-12-03,VCU,N,Illinois,REG,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
5,2016-12-07,VCU,,Georgia Tech,REG,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
6,2016-12-17,VCU,,Middle Tennessee,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
7,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
8,2016-12-27,VCU,,Howard,REG,W,0,17,3,5,.600,3,4,.750,0,1,.000,1,1,1.000,1,0,1,0,1,0,1,4,7
9,2017-01-04,VCU,@,Duquesne,REG,W,0,9,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0
10,2017-01-07,VCU,,UMass,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,2017-01-11,VCU,,George Washington,REG,W,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
12,2017-01-27,VCU,,Dayton,REG,W,0,1,0,0,,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2
13,2017-02-11,VCU,,Davidson,REG,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
14,2017-02-22,VCU,,Saint Louis,REG,W,0,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
15,2017-02-25,VCU,@,Rhode Island,REG,L,0,4,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2
16,2017-03-04,VCU,,George Mason,REG,W,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
,16 Games,,,,,,0,58,4,7,.571,4,6,.667,0,1,.000,6,7,.857,1,4,5,2,1,0,5,9,14
