Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,1,14,2,2,1.000,2,2,1.000,0,0,,2,4,.500,2,4,6,1,2,0,1,3,6
2,2016-11-15,VCU,@,Liberty,REG,W,1,13,4,5,.800,4,5,.800,0,0,,0,0,,1,1,2,0,0,0,3,2,8
3,2016-11-18,VCU,,Binghamton,REG,W,1,21,3,6,.500,3,6,.500,0,0,,3,4,.750,1,5,6,0,0,0,1,4,9
4,2016-11-23,VCU,N,Baylor,REG,L,1,25,6,11,.545,6,11,.545,0,0,,2,4,.500,0,1,1,1,1,1,4,4,14
5,2016-11-24,VCU,N,St. John's (NY),REG,W,1,8,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0
6,2016-11-25,VCU,N,LSU,REG,W,1,15,3,6,.500,3,6,.500,0,0,,2,2,1.000,1,1,2,0,0,1,3,3,8
7,2016-11-29,VCU,,Princeton,REG,W,1,5,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,3,2
8,2016-12-03,VCU,N,Illinois,REG,L,1,13,2,4,.500,2,4,.500,0,0,,3,4,.750,0,3,3,0,0,0,2,1,7
9,2016-12-07,VCU,,Georgia Tech,REG,L,0,15,0,1,.000,0,1,.000,0,0,,0,2,.000,0,3,3,1,1,2,1,3,0
10,2016-12-10,VCU,@,Old Dominion,REG,W,0,12,2,4,.500,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,1,3,4
11,2016-12-17,VCU,,Middle Tennessee,REG,W,0,8,2,4,.500,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,0,2,4
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,8,0,5,.000,0,5,.000,0,0,,0,0,,1,2,3,0,0,0,1,1,0
13,2016-12-30,VCU,@,George Mason,REG,W,0,3,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,2
14,2017-01-04,VCU,@,Duquesne,REG,W,0,9,0,3,.000,0,3,.000,0,0,,2,5,.400,1,3,4,0,0,1,2,3,2
15,2017-01-07,VCU,,UMass,REG,W,1,18,2,6,.333,2,6,.333,0,0,,0,1,.000,1,2,3,0,0,1,3,1,4
16,2017-01-11,VCU,,George Washington,REG,W,0,12,3,6,.500,3,6,.500,0,0,,3,3,1.000,2,2,4,0,0,2,2,5,9
17,2017-01-14,VCU,@,Davidson,REG,L,0,25,3,8,.375,3,8,.375,0,0,,7,9,.778,3,7,10,0,0,0,1,1,13
18,2017-01-18,VCU,@,Fordham,REG,L,0,9,2,4,.500,2,4,.500,0,0,,0,0,,0,3,3,0,0,0,1,1,4
19,2017-01-22,VCU,,La Salle,REG,W,0,21,4,6,.667,4,6,.667,0,0,,5,8,.625,4,7,11,0,0,2,0,3,13
20,2017-01-27,VCU,,Dayton,REG,W,0,15,4,4,1.000,4,4,1.000,0,0,,4,8,.500,4,4,8,0,0,0,1,2,12
21,2017-02-01,VCU,,Richmond,REG,W,0,15,3,6,.500,3,6,.500,0,0,,3,4,.750,1,3,4,0,1,1,0,1,9
22,2017-02-04,VCU,@,St. Bonaventure,REG,W,0,4,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,1,1,1,2,3,0
23,2017-02-08,VCU,@,George Washington,REG,W,0,16,2,4,.500,2,4,.500,0,0,,2,2,1.000,0,6,6,1,0,0,4,0,6
24,2017-02-11,VCU,,Davidson,REG,W,0,12,2,4,.500,2,4,.500,0,0,,2,3,.667,1,3,4,0,0,0,0,2,6
25,2017-02-14,VCU,,St. Joseph's,REG,W,0,12,1,5,.200,1,5,.200,0,0,,1,2,.500,3,2,5,0,0,1,2,4,3
26,2017-02-17,VCU,@,Richmond,REG,W,0,14,4,5,.800,4,5,.800,0,0,,0,2,.000,0,3,3,0,0,0,1,4,8
27,2017-02-22,VCU,,Saint Louis,REG,W,0,19,1,7,.143,1,7,.143,0,0,,0,0,,2,2,4,0,2,1,0,3,2
28,2017-02-25,VCU,@,Rhode Island,REG,L,0,14,3,6,.500,3,6,.500,0,0,,4,6,.667,1,3,4,0,0,1,1,4,10
29,2017-03-01,VCU,@,Dayton,REG,L,0,12,1,1,1.000,1,1,1.000,0,0,,1,2,.500,3,1,4,0,1,0,1,2,3
30,2017-03-04,VCU,,George Mason,REG,W,0,10,2,2,1.000,2,2,1.000,0,0,,0,1,.000,2,2,4,0,0,0,0,1,4
31,2017-03-10,VCU,N,George Mason,CTOURN,W,0,4,0,1,.000,0,1,.000,0,0,,1,2,.500,1,1,2,0,0,0,0,3,1
32,2017-03-11,VCU,N,Richmond,CTOURN,W,0,9,4,6,.667,4,6,.667,0,0,,1,3,.333,3,2,5,1,1,1,0,2,9
33,2017-03-12,VCU,N,Rhode Island,CTOURN,L,0,14,0,4,.000,0,4,.000,0,0,,7,8,.875,2,3,5,1,0,0,1,2,7
34,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,0,23,5,7,.714,5,7,.714,0,0,,2,4,.500,2,3,5,1,2,2,0,5,12
,34 Games,,,,,,9,447,71,149,.477,71,149,.477,0,0,,59,95,.621,43,86,129,8,12,19,41,83,201
