Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,0,9,0,0,,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0
2,2016-11-15,VCU,@,Liberty,REG,W,0,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,2,0,0
3,2016-11-18,VCU,,Binghamton,REG,W,0,27,4,6,.667,2,3,.667,2,3,.667,4,5,.800,1,9,10,2,1,1,2,3,14
4,2016-11-23,VCU,N,Baylor,REG,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,1,0,1,0
5,2016-11-24,VCU,N,St. John's (NY),REG,W,0,13,1,3,.333,0,0,,1,3,.333,0,0,,0,1,1,1,0,0,1,3,3
6,2016-11-25,VCU,N,LSU,REG,W,0,11,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3
7,2016-11-29,VCU,,Princeton,REG,W,0,20,3,8,.375,2,4,.500,1,4,.250,0,0,,0,2,2,2,0,1,0,1,7
8,2016-12-03,VCU,N,Illinois,REG,L,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,2016-12-07,VCU,,Georgia Tech,REG,L,0,13,2,2,1.000,0,0,,2,2,1.000,2,2,1.000,0,0,0,1,1,0,1,1,8
10,2016-12-10,VCU,@,Old Dominion,REG,W,0,21,5,8,.625,5,6,.833,0,2,.000,1,3,.333,2,4,6,1,0,0,1,0,11
11,2016-12-17,VCU,,Middle Tennessee,REG,W,0,21,3,3,1.000,1,1,1.000,2,2,1.000,1,2,.500,0,0,0,2,0,0,0,1,9
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,0,15,1,6,.167,0,3,.000,1,3,.333,0,0,,2,2,4,0,0,0,1,1,3
13,2016-12-27,VCU,,Howard,REG,W,0,22,2,5,.400,0,0,,2,5,.400,0,0,,1,1,2,0,0,0,0,4,6
14,2016-12-30,VCU,@,George Mason,REG,W,0,12,3,4,.750,3,3,1.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,6
15,2017-01-18,VCU,@,Fordham,REG,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
16,2017-03-01,VCU,@,Dayton,REG,L,0,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
17,2017-03-04,VCU,,George Mason,REG,W,0,7,1,3,.333,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,2,2
18,2017-03-10,VCU,N,George Mason,CTOURN,W,0,27,5,9,.556,2,6,.333,3,3,1.000,2,4,.500,2,2,4,0,2,0,0,0,15
19,2017-03-11,VCU,N,Richmond,CTOURN,W,0,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,2,0
20,2017-03-12,VCU,N,Rhode Island,CTOURN,L,0,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
21,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,0,7,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2
,21 Games,,,,,,0,259,33,66,.500,18,33,.545,15,33,.455,10,16,.625,8,27,35,11,7,3,12,21,91
