Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,1,25,2,6,.333,1,2,.500,1,4,.250,2,2,1.000,0,2,2,1,0,0,3,3,7
2,2016-11-15,VCU,@,Liberty,REG,W,1,40,4,12,.333,2,5,.400,2,7,.286,3,4,.750,0,3,3,2,1,0,3,2,13
3,2016-11-18,VCU,,Binghamton,REG,W,1,23,4,7,.571,0,2,.000,4,5,.800,0,1,.000,0,0,0,2,0,0,2,2,12
4,2016-11-23,VCU,N,Baylor,REG,L,1,40,6,11,.545,1,1,1.000,5,10,.500,4,5,.800,0,3,3,5,3,0,3,1,21
5,2016-11-24,VCU,N,St. John's (NY),REG,W,1,25,5,12,.417,2,5,.400,3,7,.429,2,2,1.000,0,4,4,2,1,0,1,2,15
6,2016-11-25,VCU,N,LSU,REG,W,1,33,6,11,.545,3,5,.600,3,6,.500,4,5,.800,0,5,5,9,3,0,1,2,19
7,2016-11-29,VCU,,Princeton,REG,W,1,39,6,9,.667,3,5,.600,3,4,.750,8,8,1.000,0,3,3,12,3,0,6,2,23
8,2016-12-03,VCU,N,Illinois,REG,L,1,20,1,9,.111,0,2,.000,1,7,.143,0,0,,1,1,2,3,0,0,3,2,3
9,2016-12-07,VCU,,Georgia Tech,REG,L,1,36,5,11,.455,2,6,.333,3,5,.600,3,4,.750,0,4,4,7,2,0,7,3,16
10,2016-12-10,VCU,@,Old Dominion,REG,W,1,32,6,11,.545,1,3,.333,5,8,.625,3,4,.750,0,2,2,1,2,0,3,5,20
11,2016-12-17,VCU,,Middle Tennessee,REG,W,1,21,7,11,.636,4,4,1.000,3,7,.429,3,4,.750,0,1,1,0,1,0,3,3,20
12,2016-12-22,VCU,,Louisiana-Monroe,REG,W,1,32,4,14,.286,2,2,1.000,2,12,.167,4,6,.667,0,5,5,5,6,0,3,3,14
13,2016-12-27,VCU,,Howard,REG,W,1,15,4,7,.571,1,2,.500,3,5,.600,6,7,.857,0,2,2,5,6,0,1,1,17
14,2016-12-30,VCU,@,George Mason,REG,W,1,37,9,21,.429,6,10,.600,3,11,.273,5,7,.714,0,4,4,3,5,1,4,1,26
15,2017-01-04,VCU,@,Duquesne,REG,W,1,32,3,9,.333,2,4,.500,1,5,.200,4,4,1.000,0,3,3,7,1,0,4,2,11
16,2017-01-07,VCU,,UMass,REG,W,1,35,5,11,.455,1,5,.200,4,6,.667,3,3,1.000,1,6,7,6,2,1,4,2,17
17,2017-01-11,VCU,,George Washington,REG,W,1,21,3,6,.500,2,2,1.000,1,4,.250,0,0,,0,1,1,7,3,0,0,2,7
18,2017-01-14,VCU,@,Davidson,REG,L,1,38,7,20,.350,4,10,.400,3,10,.300,0,0,,1,7,8,4,3,0,4,3,17
19,2017-01-18,VCU,@,Fordham,REG,L,1,39,2,7,.286,2,4,.500,0,3,.000,0,0,,0,4,4,10,2,0,4,4,4
20,2017-01-22,VCU,,La Salle,REG,W,1,20,6,8,.750,3,3,1.000,3,5,.600,0,0,,1,0,1,5,0,0,1,3,15
21,2017-01-27,VCU,,Dayton,REG,W,1,30,2,10,.200,1,3,.333,1,7,.143,4,5,.800,1,2,3,1,0,0,2,3,9
22,2017-02-01,VCU,,Richmond,REG,W,1,34,3,7,.429,1,2,.500,2,5,.400,5,6,.833,0,2,2,5,1,0,2,2,13
23,2017-02-04,VCU,@,St. Bonaventure,REG,W,1,39,6,12,.500,3,5,.600,3,7,.429,3,3,1.000,0,4,4,7,0,0,3,3,18
24,2017-02-08,VCU,@,George Washington,REG,W,1,24,2,8,.250,1,5,.200,1,3,.333,3,5,.600,0,2,2,1,2,0,2,3,8
25,2017-02-11,VCU,,Davidson,REG,W,1,35,8,13,.615,4,5,.800,4,8,.500,7,8,.875,0,2,2,3,0,0,4,3,27
26,2017-02-14,VCU,,St. Joseph's,REG,W,1,36,9,16,.563,0,1,.000,9,15,.600,7,9,.778,0,1,1,5,0,0,2,3,34
27,2017-02-17,VCU,@,Richmond,REG,W,1,39,5,11,.455,3,6,.500,2,5,.400,4,4,1.000,1,6,7,5,2,0,2,3,16
28,2017-02-22,VCU,,Saint Louis,REG,W,1,21,2,6,.333,1,2,.500,1,4,.250,2,2,1.000,0,0,0,4,3,1,0,2,7
29,2017-02-25,VCU,@,Rhode Island,REG,L,1,31,5,12,.417,5,6,.833,0,6,.000,0,0,,0,4,4,1,0,0,0,3,10
30,2017-03-01,VCU,@,Dayton,REG,L,1,34,4,13,.308,3,5,.600,1,8,.125,6,7,.857,0,1,1,5,1,0,2,2,15
31,2017-03-04,VCU,,George Mason,REG,W,1,25,0,4,.000,0,0,,0,4,.000,1,2,.500,0,2,2,9,2,0,0,5,1
32,2017-03-10,VCU,N,George Mason,CTOURN,W,1,34,5,11,.455,3,7,.429,2,4,.500,1,1,1.000,0,1,1,6,3,0,1,1,13
33,2017-03-11,VCU,N,Richmond,CTOURN,W,1,37,5,12,.417,3,6,.500,2,6,.333,6,6,1.000,1,2,3,5,0,0,3,0,18
34,2017-03-12,VCU,N,Rhode Island,CTOURN,L,1,37,5,14,.357,5,10,.500,0,4,.000,5,5,1.000,0,2,2,3,1,0,1,2,15
35,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,1,33,12,28,.429,10,19,.526,2,9,.222,4,8,.500,1,0,1,2,2,0,2,4,30
,35 Games,,,,,,35,1092,168,390,.431,85,164,.518,83,226,.367,112,137,.818,8,91,99,158,61,3,86,87,531
