Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,0,24,7,11,.636,7,11,.636,0,0,,0,0,,1,5,6,0,0,0,0,3,14
2,2016-11-23,VCU,N,Baylor,REG,L,0,7,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,2,2
3,2016-11-24,VCU,N,St. John's (NY),REG,W,0,25,2,6,.333,2,6,.333,0,0,,3,5,.600,2,11,13,1,0,0,0,4,7
4,2016-11-25,VCU,N,LSU,REG,W,0,26,8,9,.889,8,9,.889,0,0,,1,2,.500,4,4,8,0,0,1,0,4,17
5,2016-11-29,VCU,,Princeton,REG,W,0,7,3,5,.600,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,1,1,6
6,2016-12-03,VCU,N,Illinois,REG,L,0,25,4,8,.500,4,8,.500,0,0,,0,0,,3,3,6,0,0,1,1,5,8
7,2016-12-07,VCU,,Georgia Tech,REG,L,1,39,10,16,.625,10,15,.667,0,1,.000,6,7,.857,4,5,9,2,1,0,3,4,26
8,2016-12-10,VCU,@,Old Dominion,REG,W,1,30,1,4,.250,1,4,.250,0,0,,4,5,.800,2,6,8,1,1,0,1,3,6
9,2016-12-17,VCU,,Middle Tennessee,REG,W,1,16,3,9,.333,3,9,.333,0,0,,1,3,.333,2,3,5,0,0,0,0,1,7
10,2016-12-22,VCU,,Louisiana-Monroe,REG,W,1,21,2,2,1.000,2,2,1.000,0,0,,0,0,,1,5,6,0,0,0,1,1,4
11,2016-12-27,VCU,,Howard,REG,W,0,20,6,10,.600,6,10,.600,0,0,,0,1,.000,2,7,9,1,0,1,0,1,12
12,2016-12-30,VCU,@,George Mason,REG,W,0,21,1,3,.333,1,3,.333,0,0,,3,7,.429,5,6,11,0,0,2,0,3,5
13,2017-01-04,VCU,@,Duquesne,REG,W,0,27,7,9,.778,7,9,.778,0,0,,2,2,1.000,3,4,7,1,1,0,2,2,16
14,2017-01-07,VCU,,UMass,REG,W,0,28,5,12,.417,5,12,.417,0,0,,2,4,.500,2,8,10,0,0,0,0,0,12
15,2017-01-11,VCU,,George Washington,REG,W,1,37,10,15,.667,10,15,.667,0,0,,0,0,,4,9,13,0,1,0,2,3,20
16,2017-01-14,VCU,@,Davidson,REG,L,1,15,5,8,.625,5,8,.625,0,0,,1,2,.500,4,5,9,1,1,1,1,3,11
17,2017-01-18,VCU,@,Fordham,REG,L,1,37,9,16,.563,9,16,.563,0,0,,2,4,.500,1,4,5,0,1,1,4,0,20
18,2017-01-22,VCU,,La Salle,REG,W,1,23,7,10,.700,7,10,.700,0,0,,2,3,.667,6,3,9,0,0,0,1,0,16
19,2017-01-27,VCU,,Dayton,REG,W,1,25,9,13,.692,9,13,.692,0,0,,0,1,.000,5,4,9,1,0,0,1,3,18
20,2017-02-01,VCU,,Richmond,REG,W,1,32,7,11,.636,7,11,.636,0,0,,4,5,.800,0,9,9,0,0,1,0,1,18
21,2017-02-04,VCU,@,St. Bonaventure,REG,W,1,34,7,12,.583,7,12,.583,0,0,,4,5,.800,5,7,12,1,0,0,2,4,18
22,2017-02-08,VCU,@,George Washington,REG,W,1,27,4,8,.500,4,8,.500,0,0,,3,4,.750,3,8,11,0,0,0,0,2,11
23,2017-02-11,VCU,,Davidson,REG,W,1,32,6,11,.545,6,11,.545,0,0,,1,2,.500,3,13,16,1,1,1,1,2,13
24,2017-02-14,VCU,,St. Joseph's,REG,W,1,36,6,9,.667,6,9,.667,0,0,,2,4,.500,5,8,13,1,1,0,2,3,14
25,2017-02-17,VCU,@,Richmond,REG,W,1,16,4,6,.667,4,6,.667,0,0,,0,0,,1,5,6,0,0,0,4,5,8
26,2017-02-22,VCU,,Saint Louis,REG,W,1,22,5,11,.455,5,11,.455,0,0,,4,4,1.000,3,7,10,0,0,0,0,2,14
27,2017-02-25,VCU,@,Rhode Island,REG,L,1,17,2,7,.286,2,7,.286,0,0,,1,2,.500,1,0,1,0,0,0,0,2,5
28,2017-03-01,VCU,@,Dayton,REG,L,1,33,6,10,.600,6,10,.600,0,0,,6,7,.857,5,5,10,1,0,2,0,3,18
29,2017-03-04,VCU,,George Mason,REG,W,1,28,12,15,.800,12,15,.800,0,0,,0,2,.000,5,6,11,0,0,1,0,1,24
30,2017-03-10,VCU,N,George Mason,CTOURN,W,1,26,3,5,.600,3,5,.600,0,0,,1,2,.500,1,5,6,0,0,0,2,2,7
31,2017-03-11,VCU,N,Richmond,CTOURN,W,1,29,4,6,.667,4,6,.667,0,0,,3,7,.429,4,10,14,0,0,2,2,3,11
32,2017-03-12,VCU,N,Rhode Island,CTOURN,L,1,27,5,11,.455,5,11,.455,0,0,,0,1,.000,8,9,17,0,1,0,0,0,10
33,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,1,28,3,4,.750,3,4,.750,0,0,,0,0,,1,6,7,0,0,2,2,2,6
,33 Games,,,,,,23,840,174,294,.592,174,293,.594,0,1,.000,56,91,.615,96,192,288,12,9,17,34,75,404
