Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2016-11-11,VCU,,North Carolina-Asheville,REG,W,1,24,5,9,.556,5,9,.556,0,0,,0,2,.000,0,4,4,3,0,1,1,1,10
2,2016-11-15,VCU,@,Liberty,REG,W,1,16,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,0,0,3,1,0,2,4,4
3,2016-11-18,VCU,,Binghamton,REG,W,1,15,4,5,.800,4,5,.800,0,0,,0,1,.000,0,2,2,5,2,0,3,1,8
4,2016-11-23,VCU,N,Baylor,REG,L,1,35,6,9,.667,6,9,.667,0,0,,0,0,,0,3,3,3,2,0,1,2,12
5,2016-11-24,VCU,N,St. John's (NY),REG,W,1,34,8,15,.533,8,15,.533,0,0,,6,7,.857,1,3,4,6,1,0,1,2,22
6,2016-11-25,VCU,N,LSU,REG,W,1,33,3,8,.375,3,7,.429,0,1,.000,0,0,,0,2,2,4,3,0,0,1,6
7,2016-12-03,VCU,N,Illinois,REG,L,1,29,2,7,.286,2,6,.333,0,1,.000,0,0,,0,2,2,3,0,0,2,2,4
8,2016-12-07,VCU,,Georgia Tech,REG,L,1,20,0,3,.000,0,3,.000,0,0,,0,0,,0,3,3,4,0,0,2,1,0
9,2016-12-10,VCU,@,Old Dominion,REG,W,1,27,2,4,.500,2,4,.500,0,0,,3,4,.750,0,1,1,3,0,2,3,1,7
10,2016-12-17,VCU,,Middle Tennessee,REG,W,1,17,2,3,.667,2,3,.667,0,0,,0,1,.000,0,1,1,1,0,0,0,2,4
11,2016-12-22,VCU,,Louisiana-Monroe,REG,W,1,16,2,5,.400,2,4,.500,0,1,.000,0,2,.000,0,1,1,2,1,0,3,1,4
12,2016-12-27,VCU,,Howard,REG,W,1,22,5,8,.625,4,6,.667,1,2,.500,3,3,1.000,0,3,3,6,2,0,1,0,14
13,2016-12-30,VCU,@,George Mason,REG,W,1,33,6,12,.500,6,12,.500,0,0,,0,1,.000,0,4,4,5,1,1,2,2,12
14,2017-01-04,VCU,@,Duquesne,REG,W,1,23,6,12,.500,6,12,.500,0,0,,1,1,1.000,0,2,2,4,0,0,0,2,13
15,2017-01-07,VCU,,UMass,REG,W,1,22,5,7,.714,5,7,.714,0,0,,2,4,.500,0,3,3,4,0,0,3,3,12
16,2017-01-11,VCU,,George Washington,REG,W,1,27,5,8,.625,5,7,.714,0,1,.000,1,1,1.000,0,4,4,5,0,0,1,1,11
17,2017-01-14,VCU,@,Davidson,REG,L,1,32,3,7,.429,3,7,.429,0,0,,2,2,1.000,0,1,1,1,0,0,1,2,8
18,2017-01-18,VCU,@,Fordham,REG,L,1,28,3,7,.429,3,7,.429,0,0,,2,3,.667,0,3,3,6,2,1,7,1,8
19,2017-01-22,VCU,,La Salle,REG,W,0,23,4,11,.364,4,10,.400,0,1,.000,0,2,.000,1,1,2,5,0,0,2,0,8
20,2017-01-27,VCU,,Dayton,REG,W,0,23,2,5,.400,2,4,.500,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,0,6
21,2017-02-01,VCU,,Richmond,REG,W,0,20,1,3,.333,1,3,.333,0,0,,4,6,.667,0,1,1,4,0,0,1,2,6
22,2017-02-04,VCU,@,St. Bonaventure,REG,W,0,27,1,5,.200,1,3,.333,0,2,.000,5,5,1.000,0,1,1,0,0,1,1,0,7
23,2017-02-08,VCU,@,George Washington,REG,W,0,18,2,9,.222,2,8,.250,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4
24,2017-02-11,VCU,,Davidson,REG,W,0,27,0,5,.000,0,4,.000,0,1,.000,2,2,1.000,0,4,4,2,1,0,1,2,2
25,2017-02-14,VCU,,St. Joseph's,REG,W,0,20,1,4,.250,1,4,.250,0,0,,4,6,.667,0,1,1,0,0,0,1,1,6
26,2017-02-17,VCU,@,Richmond,REG,W,0,27,5,10,.500,5,9,.556,0,1,.000,5,5,1.000,0,3,3,4,0,0,4,1,15
27,2017-02-22,VCU,,Saint Louis,REG,W,0,26,6,11,.545,6,9,.667,0,2,.000,5,6,.833,0,2,2,1,0,0,0,2,17
28,2017-02-25,VCU,@,Rhode Island,REG,L,0,29,5,11,.455,5,10,.500,0,1,.000,4,4,1.000,0,4,4,1,0,0,0,2,14
29,2017-03-01,VCU,@,Dayton,REG,L,0,18,3,7,.429,3,7,.429,0,0,,0,1,.000,1,1,2,2,1,0,2,2,6
30,2017-03-04,VCU,,George Mason,REG,W,0,22,4,10,.400,4,10,.400,0,0,,2,4,.500,0,2,2,3,0,0,0,0,10
31,2017-03-10,VCU,N,George Mason,CTOURN,W,0,15,2,4,.500,2,3,.667,0,1,.000,3,4,.750,0,3,3,1,2,0,1,1,7
32,2017-03-11,VCU,N,Richmond,CTOURN,W,0,29,3,8,.375,3,8,.375,0,0,,0,0,,0,1,1,7,1,0,1,2,6
33,2017-03-12,VCU,N,Rhode Island,CTOURN,L,0,23,2,7,.286,2,7,.286,0,0,,0,0,,1,0,1,3,1,0,0,2,4
34,2017-03-16,VCU,N,Saint Mary's (CA),NCAA,L,0,19,1,5,.200,1,5,.200,0,0,,3,3,1.000,1,3,4,2,0,0,0,2,5
,34 Games,,,,,,18,819,110,245,.449,109,228,.478,1,17,.059,61,84,.726,5,71,76,105,21,6,48,48,282
